q_A;q_B;x1;x2;x3;x4;x1_pred;x2_pred;x3_pred;x4_pred
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.2741618500149;64.98814426139958;65.93740884876799;65.65571826089733;65.37807799394525;65.02899401920027;65.88295160703348;65.81886430541536
452.78;555.56;65.24220444785203;64.82432235757008;65.81216372148239;65.69177190890655;65.37967380673155;65.07177523766144;65.86463435115226;65.82182025888093
452.78;555.56;64.94407976470336;64.7835826203639;65.83549878075888;65.59307715140785;65.38007534815239;65.11074177364588;65.84707975838725;65.8246645790326
452.78;555.56;64.91060700241563;64.88379774913759;65.79664968091518;65.54834826550487;65.37940888546233;65.14624272757013;65.83025629014412;65.82740148374079
452.78;555.56;65.08940438802304;64.68267744231382;65.7227391434065;65.78791771203059;65.37779049134616;65.17859577338564;65.81413369448995;65.8300350313654
452.78;555.56;64.93325938057032;64.68130931850736;65.9221473121739;65.80186237179888;65.3753267264976;65.2080898810112;65.79868295508999;65.83256912679818
452.78;555.56;65.08248878361121;64.63959570156689;65.68064532477644;65.89884734010629;65.37211529283674;65.23498781796998;65.78387624205213;65.8350075272759
452.78;555.56;65.1001813160341;64.8757644637653;65.71973045514412;65.99624129938591;65.36824565553331;65.2595284459134;65.76968686462402;65.8373538479738
452.78;555.56;64.96986342352669;64.95948006490482;65.75516561473053;65.92033072135452;65.36379963282988;65.28192882695821;65.75608922567388;65.83961156738486
452.78;555.56;65.03425493385251;65.02206142489656;65.95200531030491;65.83916316100739;65.35885195331286;65.30238615398068;65.74305877790275;65.84178403249624
452.78;555.56;65.06998437824952;65.03116031672103;66.04914513984127;66.18405129326209;65.35347078078632;65.32107951821519;65.73057198172489;65.84387446376681
452.78;555.56;65.40636314138483;65.29735021202593;65.98019357357083;66.03901951255078;65.34771820729566;65.33817152670751;65.71860626476149;65.84588595991899
452.78;555.56;65.42380001183179;65.43765353839319;65.83374584215709;65.95819486070408;65.34165071513834;65.35380978138721;65.70713998289365;65.84782150254568
452.78;555.56;65.3169218429552;65.35744549072392;65.94907066666435;66.09800922653527;65.33531960891634;65.36812823075348;65.69615238281759;65.84968396054379
452.78;555.56;65.13669703940265;65.2408673836444;65.87173414622042;66.07862183502856;65.32877141883344;65.381248404424;65.6856235660511;65.85147609437946
452.78;555.56;65.23700319033529;65.27975383196302;65.93685716082305;66.09041085845705;65.32204827654326;65.39328054008192;65.67553445433998;65.85320056019097
452.78;555.56;65.2171468273393;65.33652942461772;65.84303528104803;66.19442774838858;65.31518826491069;65.40432461166975;65.6658667564127;65.85485991373653
452.78;555.56;65.18342434520355;65.21145309663468;65.8151683656003;66.08328073439381;65.30822574307957;65.41447126702991;65.65660293603912;65.85645661419156
452.78;555.56;64.94414607511929;65.27075611627643;65.80827669384;65.90758317054518;65.3011916482416;65.423802682576;65.64772618134091;65.85799302780387
452.78;555.56;64.92552122207671;65.32812570861354;65.71867570595757;66.13522679143057;65.29411377548342;65.43239334199956;65.63922037530995;65.8594714314074
452.78;555.56;64.77723332038047;64.91555940516794;65.63725538512254;66.18974925165027;65.28701703706086;65.44031074547237;65.63107006749217;65.86089401580499
452.78;555.56;64.93821170700834;65.04187085325691;65.62457278803394;66.17408945243452;65.27992370240568;65.44761605529528;65.62326044679253;65.8622628890229
452.78;555.56;65.06038887267661;64.94602182727364;65.76832586666194;65.95025634406574;65.27285362012034;65.45436468346857;65.61577731535672;65.86358007943997
452.78;555.56;65.15990689002435;65.20483377437563;66.02161026498143;66.12338894998607;65.26582442316484;65.4606068262173;65.60860706349517;65.86484753880062
452.78;555.56;64.99933773063205;65.1536997279031;65.92001812399222;66.10218533820935;65.25885171837825;65.46638795009251;65.60173664560389;65.8660671451125
452.78;555.56;64.89981320903325;65.25494689952409;66.04170586911603;65.99713071912647;65.25194926142149;65.47174923388816;65.5951535570504;65.86724070543463
452.78;555.56;64.85828624711357;65.0313970777102;65.8658675282525;66.16818449741467;65.24512911816517;65.4767279702609;65.58884581198248;65.8683699585597
452.78;555.56;64.706843561271;65.13273560634136;66.22193788374517;66.19918771919885;65.23840181348879;65.48135793061365;65.58280192202857;65.86945657759478
452.78;555.56;64.83139143151938;65.18031337011894;66.19441595395023;65.82635023694736;65.23177646839832;65.48566969650165;65.57701087585552;65.87050217244538
452.78;555.56;64.95289865621218;65.19086613585142;66.2830513910613;65.82425248869752;65.22526092631219;65.48969096054395;65.57146211954725;65.87150829220371
452.78;555.56;64.92603870402375;65.61390621421158;66.40646034302915;65.82213891751286;65.21886186931218;65.49344679956633;65.56614553777715;65.87247642744794
452.78;555.56;65.17207479013615;65.71340530828512;65.95738497976924;65.75901015968225;65.21258492510141;65.49695992246737;65.56105143573916;65.87340801245377
