x1;x2;x3;x4;x1_pred;x2_pred;x3_pred;x4_pred
65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
65.65815073890379;64.90931463176994;65.69966440432354;65.9675923349714;65.40757632255554;64.94687342643738;66.04591727256775;65.89225888252258
65.88713362980228;64.98945766814;65.71564214239085;66.18730040602716;65.43744885921478;64.91033220291138;66.17895543575287;65.96796035766602
65.64968526664111;64.89985278390866;65.68538843068737;66.2746520945982;65.46454536914825;64.87238049507141;66.30218505859375;66.03967547416687
65.64740878481759;64.64105056026781;65.86747819345413;66.21648854572426;65.49280172586441;64.8388123512268;66.4236706495285;66.11055135726929
65.60189338703786;64.90793171375628;65.8357650124433;66.1255180563084;65.52123785018921;64.80755352973938;66.53988480567932;66.1847448348999
65.43311610396218;65.00165434940894;65.71863635389067;66.14199158482884;65.5483170747757;64.77733874320984;66.65156185626984;66.25100493431091
65.2835919719654;65.1211036670775;65.56352258483246;66.13243399637471;65.57554668188095;64.75002098083496;66.76111459732056;66.31279349327087
65.14485256171396;65.02095844617311;65.51797305590287;65.98644132170625;65.60275036096573;64.72518539428711;66.8684709072113;66.36966466903687
64.95450413688403;65.25851617161813;65.51644559502753;66.00821691619437;65.63069558143616;64.703378200531;66.97378814220428;66.4263129234314
64.85670172209643;65.31078366460548;65.6985967383128;66.13391626060967;65.65860104560852;64.68406009674072;67.07806944847107;66.4755129814148
64.96145733625737;65.5095581409461;65.67876988847182;65.98023132512118;65.68650996685028;64.66667795181274;67.18006908893585;66.52131676673889
64.98758166681912;65.39204175391346;65.65427625139657;66.00345304086973;65.71245008707047;64.64836239814758;67.27652847766876;66.5607738494873
64.85772804724765;65.33237171182073;65.74864597779558;66.00726553318556;65.73808598518372;64.63094568252563;67.36899495124817;66.60066366195679
64.69727437286099;65.23654408648012;65.76294577504615;66.00377973013484;65.7643683552742;64.61603879928589;67.46022880077362;66.63967490196228
64.89568881485923;65.23178654031194;65.60724113500252;65.90182459003472;65.79171031713486;64.60409808158875;67.55095779895782;66.67864680290222
65.07558842084899;65.2908271071917;65.40244583707491;65.77627175741671;65.81725287437439;64.59073305130005;67.63531386852264;66.71616315841675
65.03628184408295;65.60918412356823;65.31205010501458;65.41959035374926;65.84084391593933;64.57590222358704;67.71360516548157;66.75092577934265
65.07721625282252;65.49876067452365;65.57286595701292;65.40693771855852;65.86307978630066;64.56111979484558;67.78949677944183;66.77702069282532
65.20851469417747;65.52098497249511;65.5654829934279;65.38089534670759;65.88490772247314;64.54675912857056;67.86193311214447;66.80371880531311
65.17306819984972;65.72334455029143;65.740583288509;65.34007903309265;65.90520590543747;64.53136134147644;67.92943894863129;66.82838439941406
