q_A;q_B;x1;x2;x3;x4;x1_pred;x2_pred;x3_pred;x4_pred
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.3575618500149;65.13744426139958;65.82600884876798;65.84501826089732;65.37807799394525;65.02899401920027;65.88295160703348;65.81886430541536
452.78;555.56;65.42271825121811;65.00330614227506;66.04425996697826;66.02757147350316;65.37967380673155;65.07177523766144;65.86463435115226;65.82182025888093
452.78;555.56;65.37187545850811;64.94205565464364;65.90891408558214;65.8850054769995;65.38007534815239;65.11074177364588;65.84707975838725;65.8246645790326
452.78;555.56;65.26757115544184;65.01292540555826;65.8676698228642;65.88055459259967;65.37940888546233;65.14624272757013;65.83025629014412;65.82740148374079
452.78;555.56;65.25106872506439;65.12501630978532;65.73136419113008;66.01658223244155;65.37779049134616;65.17859577338564;65.81413369448995;65.8300350313654
452.78;555.56;65.2728043179484;65.1283154100963;65.50380832969196;65.83815654735866;65.3753267264976;65.2080898810112;65.79868295508999;65.83256912679818
452.78;555.56;65.41022662748789;64.67753244799935;65.25496474030822;65.9456850682473;65.37211529283674;65.23498781796998;65.78387624205213;65.8350075272759
452.78;555.56;65.56799773413096;64.72984968551859;65.15995177774502;66.20450093664314;65.36824565553331;65.2595284459134;65.76968686462402;65.8373538479738
452.78;555.56;65.54141556594102;64.62850772590902;65.19856489371732;66.21555085628809;65.36379963282988;65.28192882695821;65.75608922567388;65.83961156738486
452.78;555.56;65.44645749565406;64.54313135906796;65.24754146399243;66.08185866212193;65.35885195331286;65.30238615398068;65.74305877790275;65.84178403249624
452.78;555.56;65.32314826931847;64.55292467153402;65.16004294968361;66.06321805106901;65.35347078078632;65.32107951821519;65.73057198172489;65.84387446376681
452.78;555.56;65.18640516926422;64.65769197439533;65.09155220093044;65.92412403744599;65.34771820729566;65.33817152670751;65.71860626476149;65.84588595991899
452.78;555.56;65.23364340448533;64.52431990629682;65.21926549750758;66.2272043733432;65.34165071513834;65.35380978138721;65.70713998289365;65.84782150254568
452.78;555.56;65.2329668940385;64.60463621731391;65.60486491041353;66.14154595504242;65.33531960891634;65.36812823075348;65.69615238281759;65.84968396054379
452.78;555.56;65.44184471444794;64.57195337649463;65.50755049473342;66.35251544489952;65.32877141883344;65.381248404424;65.6856235660511;65.85147609437946
452.78;555.56;65.44031449146925;64.61527586332681;65.68204869625356;66.0104462760556;65.32204827654326;65.39328054008192;65.67553445433998;65.85320056019097
452.78;555.56;65.52204805914899;64.65300455623513;65.52047457508571;65.87026645935183;65.31518826491069;65.40432461166975;65.6658667564127;65.85485991373653
452.78;555.56;65.3339715973765;64.60219742594799;65.20312641453823;65.96680677760888;65.30822574307957;65.41447126702991;65.65660293603912;65.85645661419156
452.78;555.56;65.5369069644246;64.73688404181364;65.23850968517702;65.7121759296664;65.3011916482416;65.423802682576;65.64772618134091;65.85799302780387
452.78;555.56;65.27241066721223;64.86281897642004;65.30469377903589;65.70486164493454;65.29411377548342;65.43239334199956;65.63922037530995;65.8594714314074
452.78;555.56;65.0952319598802;64.98034038875095;65.43787476705813;65.77344112372354;65.28701703706086;65.44031074547237;65.63107006749217;65.86089401580499
452.78;555.56;65.07170119697675;64.99238594354445;65.68641942044385;66.06216688752241;65.27992370240568;65.44761605529528;65.62326044679253;65.8622628890229
452.78;555.56;65.13928413351323;64.87187633251963;65.70326076764457;65.7716149784462;65.27285362012034;65.45436468346857;65.61577731535672;65.86358007943997
452.78;555.56;64.98572793376843;64.53115134546799;65.868691131889;65.56121404999634;65.26582442316484;65.4606068262173;65.60860706349517;65.86484753880062
452.78;555.56;64.95075616653395;64.45398311915686;66.03194244081915;65.55806616263429;65.25885171837825;65.46638795009251;65.60173664560389;65.8660671451125
452.78;555.56;64.8419609451279;64.31194417701384;66.38341520919899;65.62614484730187;65.25194926142149;65.47174923388816;65.5951535570504;65.86724070543463
452.78;555.56;65.02807650493155;64.36230849662272;66.15370758827746;65.68918686326683;65.24512911816517;65.4767279702609;65.58884581198248;65.8683699585597
452.78;555.56;64.87306848380523;64.44350599962208;66.30175535657115;65.80659594317648;65.23840181348879;65.48135793061365;65.58280192202857;65.86945657759478
452.78;555.56;64.81668574292227;64.57757816090695;66.14537825920958;65.74189093542762;65.23177646839832;65.48566969650165;65.57701087585552;65.87050217244538
452.78;555.56;64.80051340738804;64.65354889964716;66.27117645210316;65.82768337540793;65.22526092631219;65.48969096054395;65.57146211954725;65.87150829220371
452.78;555.56;64.83520259652636;64.55539559733893;66.26458451557689;65.60123213254982;65.21886186931218;65.49344679956633;65.56614553777715;65.87247642744794
452.78;555.56;64.66763123717783;64.16775416616527;66.22256966178607;65.76997544034293;65.21258492510141;65.49695992246737;65.56105143573916;65.87340801245377
