x1;x2;x3;x4;x1_pred;x2_pred;x3_pred;x4_pred
93.84103081309338;100.04943472563347;78.77109889573373;123.90477149869766;94.44296288490295;100.51049304008484;78.6893355846405;124.58423018455505
93.75038566738453;100.08670440897133;78.60666833485242;124.13278301239492;94.33811688423157;100.5515284538269;78.51446032524109;124.82067108154297
93.6608512773004;100.12635760734595;78.44527199844744;124.36096001533829;94.23432874679565;100.59517741203308;78.34273874759674;125.0573742389679
93.57243623796248;100.16832641549576;78.28689794495563;124.58919020495615;94.13163304328918;100.64134311676025;78.1741315126419;125.29427409172058
93.48514760806844;100.21254241449597;78.13153270025789;124.81736242746553;94.03001594543457;100.68998408317566;78.00863206386566;125.5312329530716
93.39899097123394;100.25893675995307;77.97916134281785;125.04536675003503;93.92947745323181;100.74100351333618;77.846240401268;125.76813280582428
93.31397049693142;100.30744026723117;77.82976758664273;125.27309452982334;93.8300313949585;100.79433917999268;77.68696308135986;126.00488841533661
93.2300890009536;100.35798349372824;77.68333386204216;125.50043847993935;93.73168468475342;100.84990811347961;77.53073453903198;126.24138176441193
93.147348005332;100.41049681822486;77.53984139416478;125.72729273237202;93.63443040847778;100.90764117240906;77.37758100032806;126.47748827934265
93.06574779764465;100.46491051733172;77.39927027929708;125.9535528979389;93.53831005096436;100.96746230125427;77.22746312618256;126.71312928199768
92.98528748964961;100.52115483906621;77.26159955891306;126.17911612330322;93.44328904151917;101.02931618690491;77.08038091659546;126.94818019866943
92.90596507518494;100.5791600735917;77.12680729146737;126.40388114511035;93.3493812084198;101.09310603141785;76.9362884759903;127.18256890773773
92.82777748727794;100.63885662115601;76.9948706219286;126.62774834129542;93.25658655166626;101.15874886512756;76.79519891738892;127.41615772247314
92.75072065441046;100.70017505726894;76.86576584905302;126.85061977961391;93.16491198539734;101.2261962890625;76.65706634521484;127.6488745212555
92.6747895558894;100.76304619516053;76.73946849040294;127.07239926344795;93.07434368133545;101.29534459114075;76.5218710899353;127.8806209564209
92.5999782762754;100.82740114556466;76.615953345117;127.29299237494125;92.98489546775818;101.36613154411316;76.38960003852844;128.1112790107727
92.52628005882488;100.89317137387431;76.49519455444337;127.51230651551585;92.89653968811035;101.43850183486938;76.26021385192871;128.34076344966888
92.45368735790451;100.96028875471642;76.37716566004961;127.73025094382389;92.80928325653076;101.51237940788269;76.13370597362518;128.56899559497833
92.38219189033924;101.02868562399641;76.26183966012643;127.94673681118806;92.72312617301941;101.58767437934875;76.01003706455231;128.79587709903717
92.31178468565872;101.0982948284632;76.1491890633048;128.16167719458383;92.63804078102112;101.66431069374084;75.88918745517731;129.02133584022522
92.24245613520945;101.16904977284692;76.03918594040924;128.374987127217;92.55406165122986;101.7422399520874;75.77112436294556;129.24524068832397
92.17419604010288;101.24088446462268;75.93180197407189;128.58658362674964;92.47114729881287;101.8213722705841;75.65582156181335;129.46754574775696
92.10699365797262;101.31373355645418;75.82700850623507;128.79638572122747;92.38930463790894;101.90164542198181;75.54325938224792;129.68814611434937
92.0408377485164;101.38753238637177;75.7247765835717;129.00431447276125;92.30851984024048;101.98297643661499;75.43340504169464;129.90696966648102
91.9757166178015;101.4622170157401;75.62507700085519;129.2102929990148;92.2287929058075;102.06531691551208;75.32621920108795;130.1239573955536
91.9116181613147;101.53772426507055;75.5278803423125;129.41424649255163;92.1501030921936;102.14857697486877;75.22168219089508;130.3389847278595
91.84852990574048;101.61399174773412;75.43315702099554;129.61610223809183;92.07244348526001;102.23268055915833;75.11977434158325;130.55201888084412
91.78643904945368;101.69095790163021;75.34087731620778;129.81578962773065;91.99581408500671;102.31757926940918;75.02044975757599;130.76298117637634
91.72533250171553;101.76856201886702;75.25101140902473;130.0132401741696;91.92018723487854;102.40321087837219;74.92368221282959;130.97176671028137
91.6651969205639;101.84674427350865;75.16352941594774;130.2083875220102;91.84557676315308;102.48949933052063;74.82945531606674;131.1783492565155
91.60601874939132;101.92544574744434;75.07840142073236;130.40116745716085;91.77195501327515;102.57638931274414;74.7377297282219;131.38263702392578
91.54778425220647;102.00460845443438;74.99559750443309;130.59151791440553;91.69932889938354;102.66380476951599;74.64847594499588;131.58456444740295
91.49047954757687;102.084175362387;74.91508777370761;130.77937898318376;91.6276707649231;102.75168347358704;74.56165790557861;131.78407907485962
91.43409064125294;102.16409041392023;74.83684238742443;130.9646929116299;91.556973695755;102.8399908542633;74.47725594043732;131.98110222816467
91.37860345747515;102.24429854526187;74.76083158161839;131.14740410891957;91.48721694946289;102.92863702774048;74.39523726701736;132.1756076812744
91.32400386896845;102.3247457035401;74.68702569283926;131.32745914597066;91.41840052604675;103.017573595047;74.31556582450867;132.36751675605774
91.27027772562963;102.40537886251697;74.61539517993907;131.50480675454526;91.350510597229;103.10673832893372;74.23822194337845;132.5567638874054
91.21741088191541;102.4861460368156;74.54591064434433;131.6793978247989;91.28354716300964;103.19607591629028;74.1631531715393;132.74332284927368
91.16538922294049;102.56699629469182;74.47854284885938;131.85118540132262;91.21748948097229;103.28553104400635;74.0903627872467;132.92712807655334
91.11419868929657;102.6478797693998;74.41326273504754;132.02012467772255;91.15232372283936;103.37504148483276;74.01979178190231;133.10811400413513
91.06382530060505;102.7287476692003;74.35004143923675;132.18617298978185;91.08802914619446;103.46457266807556;73.95143359899521;133.28628063201904
91.01425517781728;102.8095522860598;74.28885030719631;132.3492898072484;91.02461266517639;103.55404853820801;73.88523906469345;133.46152305603027
90.96547456427803;102.89024700308715;74.22966090753147;132.5094367242916;90.96207427978516;103.64342761039734;73.82119178771973;133.63385438919067
90.91746984556886;102.97078630075424;74.17244504384229;132.66657744867106;90.9003655910492;103.73264765739441;73.75925570726395;133.8031828403473
90.87022756814957;103.0511257619455;74.11717476569316;132.82067778965924;90.8395004272461;103.82166719436646;73.69940459728241;133.96953463554382
90.8237344568169;103.1312220758809;74.06382237843899;132.97170564475925;90.77946496009827;103.9104516506195;73.64161223173141;134.13281798362732
90.77797743100086;103.21103304095543;74.01236045195355;133.1196309852591;90.72022461891174;103.99894571304321;73.58584582805634;134.29299354553223
90.73294361992028;103.29051756653757;73.96276182830572;133.26442584066268;90.6618139743805;104.08708024024963;73.53209227323532;134.45008754730225
90.68862037661955;103.36963567376816;73.91499962842775;133.40606428203708;90.60419845581055;104.17486214637756;73.4802958369255;134.60400819778442
