q_A;q_B;x1;x2;x3;x4;x1_pred;x2_pred;x3_pred;x4_pred
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714;65.37515073890378;64.98201463176996;65.90206440432354;65.8157923349714
452.78;555.56;65.2741618500149;64.98814426139958;65.93740884876799;65.65571826089733;65.34204757213593;64.98626327514648;65.92867702245712;65.7937604188919
452.78;555.56;65.24220444785203;64.82432235757008;65.81216372148239;65.69177190890655;65.31449127197266;64.97841918468475;65.939000248909;65.75784057378769
452.78;555.56;64.94407976470336;64.7835826203639;65.83549878075888;65.59307715140785;65.28904378414154;64.97879254817963;65.94558298587799;65.74399650096893
452.78;555.56;64.91060700241563;64.88379774913759;65.79664968091518;65.54834826550487;65.26067507266998;64.9749448299408;65.95978766679764;65.70101529359818
452.78;555.56;65.08940438802304;64.68267744231382;65.7227391434065;65.78791771203059;65.24424707889557;64.98112952709198;65.97613632678986;65.68830877542496
452.78;555.56;64.93325938057032;64.68130931850736;65.9221473121739;65.80186237179888;65.24360060691833;64.97911405563354;65.97985059022903;65.65465092658997
452.78;555.56;65.08248878361121;64.63959570156689;65.68064532477644;65.89884734010629;65.240105509758;64.97537350654602;65.98535478115082;65.64335405826569
452.78;555.56;65.1001813160341;64.8757644637653;65.71973045514412;65.99624129938591;65.21150863170624;64.97241771221161;65.99607467651367;65.64335405826569
452.78;555.56;64.96986342352669;64.95948006490482;65.75516561473053;65.92033072135452;65.17788517475128;64.9723070859909;66.01085305213928;65.64335405826569
452.78;555.56;65.03425493385251;65.02206142489656;65.95200531030491;65.83916316100739;65.15099954605103;64.96895372867584;66.01197749376297;65.64335405826569
452.78;555.56;65.06998437824952;65.03116031672103;66.04914513984127;66.18405129326209;65.13534247875214;64.9751626253128;66.01769804954529;65.64335405826569
452.78;555.56;65.40636314138483;65.29735021202593;65.98019357357083;66.03901951255078;65.13142216205597;64.97933876514435;66.02978497743607;65.64335405826569
452.78;555.56;65.42380001183179;65.43765353839319;65.83374584215709;65.95819486070408;65.13142216205597;64.97933876514435;66.04260295629501;65.64335405826569
452.78;555.56;65.3169218429552;65.35744549072392;65.94907066666435;66.09800922653527;65.13142216205597;64.97933876514435;66.04435354471207;65.64335405826569
452.78;555.56;65.13669703940265;65.2408673836444;65.87173414622042;66.07862183502856;65.13487231731415;64.97650051116943;66.05215579271317;65.64335405826569
452.78;555.56;65.23700319033529;65.27975383196302;65.93685716082305;66.09041085845705;65.13487231731415;64.97650051116943;66.06024652719498;65.64335405826569
452.78;555.56;65.2171468273393;65.33652942461772;65.84303528104803;66.19442774838858;65.13487231731415;64.97650051116943;66.06586545705795;65.64335405826569
452.78;555.56;65.18342434520355;65.21145309663468;65.8151683656003;66.08328073439381;65.13487231731415;64.97650051116943;66.07158601284027;65.64335405826569
452.78;555.56;64.94414607511929;65.27075611627643;65.80827669384;65.90758317054518;65.13427770137787;64.97636914253235;66.07733607292175;65.64335405826569
452.78;555.56;64.92552122207671;65.32812570861354;65.71867570595757;66.13522679143057;65.13427770137787;64.97636914253235;66.0814306139946;65.64335405826569
452.78;555.56;64.77723332038047;64.91555940516794;65.63725538512254;66.18974925165027;65.13427770137787;64.97636914253235;66.08595132827759;65.64335405826569
452.78;555.56;64.93821170700834;65.04187085325691;65.62457278803394;66.17408945243452;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;65.06038887267661;64.94602182727364;65.76832586666194;65.95025634406574;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;65.15990689002435;65.20483377437563;66.02161026498143;66.12338894998607;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;64.99933773063205;65.1536997279031;65.92001812399222;66.10218533820935;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;64.89981320903325;65.25494689952409;66.04170586911603;65.99713071912647;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;64.85828624711357;65.0313970777102;65.8658675282525;66.16818449741467;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;64.706843561271;65.13273560634136;66.22193788374517;66.19918771919885;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;64.83139143151938;65.18031337011894;66.19441595395023;65.82635023694736;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;64.95289865621218;65.19086613585142;66.2830513910613;65.82425248869752;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;64.92603870402375;65.61390621421158;66.40646034302915;65.82213891751286;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
452.78;555.56;65.17207479013615;65.71340530828512;65.95738497976924;65.75901015968225;65.13427770137787;64.97636914253235;66.0871970653534;65.64335405826569
