;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
58;452.78;555.56;-0.326;0.0135;-0.2395;-0.0483;64.41479175984746;65.21640261014147;65.97225967053649;65.11480377984476
59;452.78;555.56;0.0926;0.0033;0.2973;0.0317;64.14940700927254;65.18553437854622;65.72984616582318;65.09473585175697
60;452.78;555.56;-0.1815;0.0569;-0.082;0.2356;64.3084061014755;65.14578716789602;66.0344543726829;65.15547764014103
61;452.78;555.56;0.0104;0.0831;0.2764;-0.244;64.19655308327901;65.16483480056432;65.94692136809789;65.41766895393911
62;452.78;555.56;0.1458;-0.2063;0.2974;-0.1883;64.27966051098709;65.21933153977089;66.22147540922273;65.18969590214495
63;452.78;555.56;0.0258;-0.286;0.0086;0.0509;64.50471047817487;64.9714818643399;66.50547292566674;65.02660726924324
64;452.78;555.56;0.2279;-0.0123;0.1004;-0.3648;64.60812796176101;64.65447409191634;66.48874160183391;65.10929889454138
65;452.78;555.56;-0.247;-0.2865;-0.0112;-0.1157;64.90671946338351;64.63645123914641;66.56451234234828;64.77295306945447
66;452.78;555.56;0.0805;0.0175;0.1077;-0.185;64.7156476133147;64.33188953717152;66.52550436643271;64.69929548843196
67;452.78;555.56;-0.137;0.1877;0.0967;0.0659;64.86191608710149;64.34948686818967;66.60703261794391;64.55931835138674
68;452.78;555.56;-0.1742;0.1214;-0.0247;-0.0852;64.78531680024473;64.53039277185194;66.67414163381122;64.67590985936158
69;452.78;555.56;-0.1158;-0.2096;0.101;0.4016;64.6789308688584;64.63715980905592;66.61703771617277;64.63667934165177
70;452.78;555.56;-0.0623;-0.1721;0.3447;0.1876;64.63494533717645;64.40393353650978;66.68802726968059;65.08583720785167
71;452.78;555.56;0.0112;0.0657;0.1426;-0.1706;64.65008022693274;64.24254780381453;66.99974150017084;65.30283808562906
72;452.78;555.56;-0.233;-0.0803;0.0652;-0.0775;64.75085076963701;64.33892748094995;67.09630982978567;65.15288925574677
73;452.78;555.56;0.1802;-0.0633;0.025;-0.0695;64.60539887817619;64.27656289827333;67.11144273012684;65.10208496809328
74;452.78;555.56;0.0931;0.1194;-0.2025;0.6613;64.88252451427388;64.23348340757423;67.08574351508656;65.06133021409579
75;452.78;555.56;-0.3072;-0.1975;-0.2055;-0.302;65.05482269280597;64.3744546718638;66.83361782252553;65.75302015615928
76;452.78;555.56;0.2977;-0.0802;0.0647;0.0407;64.80594163065682;64.21657184781218;66.58903499384363;65.45356574576944
77;452.78;555.56;0.3792;-0.16;-0.2739;-0.4169;65.1666491791269;64.17492701952553;66.62489863692609;65.50884796833944
78;452.78;555.56;0.2358;-0.2086;-0.1533;-0.0014;65.58872399756164;64.0586033719374;66.32065864451477;65.10430604124501
79;452.78;555.56;-0.036;-0.1714;0.2563;0.382;65.82938875611518;63.88547923180448;66.14978723378091;65.13156166856602
80;452.78;555.56;-0.2142;0.1355;0.3828;-0.0817;65.77671320061322;63.762719170207966;66.39569993321773;65.54111767566191
81;452.78;555.56;0.2109;0.0104;-0.3332;0.2209;65.55931383429977;63.971919562056925;66.75777641469658;65.47047788687959
82;452.78;555.56;-0.0806;-0.1758;0.3253;-0.0132;65.79517093286863;64.0385880186368;66.38866885228353;65.70527958970887
83;452.78;555.56;0.2445;-0.0462;-0.0423;-0.0845;65.70997589986726;63.923850784129;66.69354059851639;65.69654228214698
84;452.78;555.56;0.0417;-0.3278;-0.003;-0.0503;65.967749786555;63.94635770313851;66.61802381996698;65.61685591126972
85;452.78;555.56;0.1953;-0.1467;-0.0227;-0.1174;66.00419704403755;63.68249402997769;66.58497203291493;65.57457124592626
86;452.78;555.56;0.0713;0.4299;0.2161;-0.1252;66.19068890567131;63.616441119635745;66.53360604708656;65.46688631869947
87;452.78;555.56;0.1413;-0.018;-0.3215;-0.266;66.2399344698907;64.12727172799605;66.7231944262744;65.35573253361027
88;452.78;555.56;0.0021;0.1463;0.0912;0.3014;66.36420116844272;64.1501018430016;66.36723531307989;65.10825314757462
89;452.78;555.56;0.3572;-0.0131;-0.189;-0.0786;66.32695726030948;64.32566731578767;66.43890724054893;65.43814951580666
90;452.78;555.56;0.0254;0.0696;0.1142;0.0588;66.65003391250542;64.3429172864327;66.22736960801763;65.37475214144888
91;452.78;555.56;0.0804;0.1327;0.3086;-0.1753;66.61326427977848;64.43911645126737;66.32791928886792;65.4513068679476
92;452.78;555.56;0.3766;-0.2209;-0.0001;0.2234;66.63789895367105;64.5948152591168;66.61864281701948;65.29067999110165
93;452.78;555.56;-0.2696;-0.0062;0.0748;-0.0547;66.96947552139542;64.37964195286513;66.5884650798284;65.53522100381053
94;452.78;555.56;-0.2541;0.3158;0.0819;-0.0182;66.6339702217802;64.40394702587994;66.63445262065436;65.49181835056832
95;452.78;555.56;0.1939;-0.1591;-0.1599;-0.3658;66.33574226328152;64.74681811478526;66.68561213182362;65.48666146987229
96;452.78;555.56;-0.2346;-0.1133;0.3023;0.0792;66.50534427358485;64.59080003811584;66.49282755984373;65.13411205136237
97;452.78;555.56;0.3887;-0.0615;0.3413;0.3623;66.22829961724287;64.47719307998834;66.7703268410132;65.2407651757913
98;452.78;555.56;-0.0827;0.0538;0.1404;-0.1738;66.60263162939853;64.42756906970061;67.07519370308306;65.6262177056598
99;452.78;555.56;-0.1495;0.105;0.0147;-0.0916;66.49610473899745;64.51220372632848;67.16640876290259;65.46005679358038
100;452.78;555.56;0.3846;0.2535;-0.0924;-0.2277;66.33290183071786;64.63548135236162;67.12811416467035;65.38277781551662
101;452.78;555.56;0.2961;0.0999;-0.1253;0.0258;66.71188342075888;64.89559772999169;66.98431865073675;65.17250939510855
102;452.78;555.56;0.3735;-0.0124;0.3422;0.0128;66.97388789796481;64.97562598713446;66.81363174473604;65.22421381067868
103;452.78;555.56;0.1812;0.2518;0.2829;0.141;67.29065566664045;64.93990358079954;67.11758550197096;65.26083351388763
104;452.78;555.56;-0.1722;0.1408;-0.0127;0.1103;67.40913842007127;65.17232759185626;67.34952971794958;65.42417721732878
105;452.78;555.56;0.382;-0.2991;-0.316;-0.1625;67.1769192167634;65.28426896384566;67.27619475201975;65.55024220031963
106;452.78;555.56;-0.0536;0.5053;-0.5664;0.045;67.5095299059974;64.95365668640844;66.90261829726333;65.39843548843776
107;452.78;555.56;0.1605;0.354;-0.2167;-0.0657;67.37133547581189;65.44417201728068;66.29424817774458;65.46023668229775
108;452.78;555.56;0.1895;-0.0336;-0.0261;-0.2182;67.42986964751088;65.7520154275212;66.0610865623439;65.40885046567232
109;452.78;555.56;-0.031;0.0756;0.2801;-0.0254;67.50414891642981;65.64900563497463;66.02833224752511;65.20703238913853
110;452.78;555.56;0.1228;0.2649;-0.1303;0.7603;67.35217626126337;65.65414876369088;66.30315703822093;65.20614475235097
111;452.78;555.56;0.1844;-0.0344;0.101;0.463;67.37451360050865;65.8482023116823;66.15602103851657;65.99099290265409
112;452.78;555.56;0.0753;0.1461;0.2606;0.028;67.45094848745079;65.76116550207756;66.24637148117196;66.4469926600997
113;452.78;555.56;-0.2199;0.2209;0.0257;0.3478;67.41758150913127;65.87885255991775;66.49252225819318;66.4497488062472
114;452.78;555.56;0.0596;-0.203;-0.0285;-0.0091;67.10131800536217;66.06336441635732;66.49343435057528;66.77219487531104
115;452.78;555.56;0.2653;-0.1205;-0.2618;-0.0106;67.08323991699343;65.82417693377347;66.44010816939165;66.72487856365093
116;452.78;555.56;-0.1389;0.1843;-0.2405;-0.3899;67.26969091857345;65.68202106860505;66.15572012275528;66.67794775337877
117;452.78;555.56;-0.0299;0.0922;0.0832;-0.192;67.02899069265023;65.85256569409;65.90458322468267;66.2535877431971
118;452.78;555.56;-0.087;0.1848;-0.0402;-0.1567;66.90091879074548;65.90234273064645;65.98772150164315;66.04407395270093
119;452.78;555.56;0.3699;-0.0265;0.0245;0.0215;66.72681780349191;66.0329148515686;65.94395666436718;65.8782468119263
120;452.78;555.56;0.1345;-0.0578;-0.0095;0.0028;67.01807231310428;65.93657916537005;65.96673562691069;65.89726701884574
121;452.78;555.56;0.0815;-0.3997;0.1328;-0.1158;67.05766436067162;65.81631648759902;65.95455484208631;65.89682435720351
122;452.78;555.56;-0.154;-0.2292;-0.1569;-0.1178;67.04140498409879;65.36239474412315;66.08518725036814;65.77779944872505
123;452.78;555.56;0.1078;0.0094;-0.0671;-0.0332;66.7961070251099;65.10543721997588;65.92061840537278;65.6615502584833
