;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];h1 [cm];h2 [cm];h3 [cm];h4 [cm]
65;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.2774926770187;65.00784564435268;65.84833807577071;65.8292581754938
66;452.78;555.56;0.0;0.0;0.0;-0.0;65.28108132231507;65.0066297759061;65.850647551395;65.82874374161256
67;452.78;555.56;-0.0;0.0;0.0;0.0;65.28455257672545;65.00547731773234;65.85285964356949;65.82824995001644
68;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.28790936355173;65.0043847152481;65.8549784602545;65.82777597248452
69;452.78;555.56;-0.0;-0.0;0.0;0.0;65.29115460401171;65.00334862626163;65.85700793599055;65.82732101402023
70;452.78;555.56;-0.0;-0.0;0.0;0.0;65.29429121006821;65.00236590763635;65.85895183923036;65.82688431151904
71;452.78;555.56;0.0;0.0;0.0;-0.0;65.29732207799678;65.00143360282124;65.86081377935983;65.82646513248947
72;452.78;555.56;-0.0;-0.0;0.0;-0.0;65.30025008263434;65.00054893019069;65.86259721342151;65.82606277382546
73;452.78;555.56;0.0;-0.0;0.0;-0.0;65.30307807225532;64.99970927213991;65.86430545255304;65.82567656062783
74;452.78;555.56;0.0;0.0;-0.0;0.0;65.3058088640258;64.99891216488582;65.86594166815283;65.82530584507305
75;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.30844523998925;64.9981552889267;65.86750889778453;65.82495000532732
76;452.78;555.56;0.0;-0.0;0.0;0.0;65.31098994354102;64.99743646011687;65.86901005083148;65.82460844450421
77;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.31344567635183;64.99675362131596;65.87044791391162;65.82428058966403
78;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.31581509570317;64.99610483457455;65.87182515606327;65.82396589085334
79;452.78;555.56;-0.0;-0.0;0.0;0.0;65.31810081220023;64.99548827382095;65.87314433371134;65.82366382018303
80;452.78;555.56;-0.0;0.0;0.0;-0.0;65.3203053878305;64.99490221801607;65.87440789542337;65.82337387094321
81;452.78;555.56;0.0;0.0;-0.0;0.0;65.3224313343386;64.9943450447455;65.87561818646438;65.82309555675376
82;452.78;555.56;-0.0;-0.0;0.0;-0.0;65.3244811118897;64.99381522422013;65.8767774531589;65.82282841074878
83;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.32645712799625;64.99331131365838;65.87788784706862;65.82257198479388
84;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.3283617366846;64.99283195202513;65.87895142899332;65.82232584873474
85;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.33019723787943;64.9923758551039;65.8799701728025;65.82208958967585
86;452.78;555.56;0.0;0.0;0.0;-0.0;65.3319658769861;64.99194181088055;65.88094596910517;65.82186281128823
87;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.33366984465212;64.99152867521805;65.88188062876436;65.82164513314478
88;452.78;555.56;0.0;0.0;0.0;0.0;65.33531127669049;64.99113536780348;65.88277588626316;65.82143619008241
89;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.33689225414906;64.99076086834937;65.88363340292842;65.82123563158963
90;452.78;555.56;0.0;0.0;0.0;0.0;65.33841480351111;64.99040421303302;65.88445477001827;65.82104312121886
91;452.78;555.56;0.0;0.0;0.0;-0.0;65.33988089701363;64.99006449115818;65.88524151167911;65.82085833602216
92;452.78;555.56;0.0;-0.0;-0.0;0.0;65.34129245307068;64.98974084202482;65.88599508777779;65.8206809660096
93;452.78;555.56;-0.0;-0.0;0.0;-0.0;65.34265133679045;64.98943245199342;65.88671689661393;65.82051071362953
94;452.78;555.56;-0.0;0.0;0.0;-0.0;65.34395936057528;64.98913855173132;65.88740827751789;65.82034729326944
95;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.34521828479485;64.9888584136292;65.88807051333883;65.82019043077702
96;452.78;555.56;-0.0;-0.0;0.0;0.0;65.3464298185236;64.98859134937707;65.88870483282778;65.82003986300039
97;452.78;555.56;0.0;-0.0;0.0;0.0;65.3475956203342;64.98833670768914;65.88931241292003;65.81989533734672
98;452.78;555.56;-0.0;0.0;0.0;-0.0;65.3487172991393;64.98809387216836;65.88989438092115;65.81975661135861
99;452.78;555.56;-0.0;0.0;0.0;-0.0;65.34979641507478;64.98786225930141;65.89045181660069;65.81962345230747
100;452.78;555.56;0.0;0.0;-0.0;-0.0;65.3508344804182;64.98764131657603;65.8909857541975;65.8194956368031
101;452.78;555.56;0.0;0.0;-0.0;0.0;65.35183296053638;64.98743052071279;65.8914971843404;65.81937295041912
102;452.78;555.56;0.0;-0.0;0.0;0.0;65.35279327485708;64.98722937600401;65.89198705588771;65.81925518733327
103;452.78;555.56;0.0;0.0;0.0;0.0;65.35371679785976;64.98703741275305;65.89245627768922;65.81914214998217
104;452.78;555.56;-0.0;0.0;-0.0;0.0;65.35460486008121;64.98685418580766;65.89290572027366;65.81903364872998
105;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.35545874913178;64.98667927318135;65.89333621746505;65.81892950155036
106;452.78;555.56;-0.0;0.0;-0.0;0.0;65.35627971071884;64.98651227475735;65.8937485679308;65.81882953372103
107;452.78;555.56;0.0;0.0;-0.0;-0.0;65.35706894967396;64.98635281106982;65.89414353666447;65.81873357753085
108;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.35782763098109;64.98620052215763;65.89452185640597;65.8186414719984
109;452.78;555.56;-0.0;0.0;0.0;-0.0;65.35855688080278;64.98605506648599;65.89488422900179;65.81855306260202
110;452.78;555.56;0.0;0.0;-0.0;0.0;65.35925778750229;64.98591611993189;65.89523132670787;65.81846820102054
111;452.78;555.56;0.0;-0.0;0.0;0.0;65.3599314026592;64.98578337482913;65.89556379343749;65.81838674488458
112;452.78;555.56;0.0;0.0;0.0;0.0;65.36057874207685;64.98565653906954;65.8958822459565;65.81830855753766
113;452.78;555.56;-0.0;0.0;0.0;0.0;65.3612007867797;64.98553533525661;65.89618727502814;65.81823350780702
114;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.36179848399908;64.98541949990852;65.89647944650953;65.81816146978356
115;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.36237274814621;64.9853087827073;65.89675930240192;65.81809232261062
116;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.3629244617711;64.98520294579167;65.89702736185663;65.8180259502813
117;452.78;555.56;-0.0;0.0;0.0;-0.0;65.36345447650638;64.9851017630903;65.89728412213857;65.81796224144377
118;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.3639636139952;64.98500501969363;65.8975300595491;65.81790108921457
119;452.78;555.56;0.0;-0.0;0.0;0.0;65.36445266680245;64.98491251126147;65.89776563030995;65.81784239099927
120;452.78;555.56;0.0;-0.0;-0.0;0.0;65.36492239930868;64.9848240434644;65.89799127140991;65.81778604832039
121;452.78;555.56;0.0;-0.0;0.0;-0.0;65.36537354858605;64.98473943145689;65.8982074014157;65.81773196665213
122;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.3658068252561;64.98465849938017;65.89841442124879;65.8176800552619
123;452.78;555.56;0.0;0.0;-0.0;-0.0;65.36622291432884;64.9845810798932;65.8986127149293;65.81763022705806
124;452.78;555.56;-0.0;0.0;0.0;-0.0;65.36662247602297;64.98450701372983;65.89880265028866;65.81758239844383
125;452.78;555.56;0.0;0.0;-0.0;-0.0;65.36700614656694;64.98443614928078;65.89898457965211;65.81753648917703
126;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.36737453898093;64.98436834219892;65.8991588404925;65.8174924222355
127;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.36772824383948;64.98430345502638;65.89932575605646;65.81745012368789
128;452.78;555.56;0.0;0.0;0.0;-0.0;65.3680678300149;64.98424135684226;65.89948563596414;65.8174095225696
129;452.78;555.56;-0.0;0.0;0.0;-0.0;65.36839384540136;64.98418192292979;65.89963877678379;65.81737055076377
130;452.78;555.56;0.0;0.0;-0.0;0.0;65.36870681761998;64.98412503446158;65.89978546258196;65.81733314288697
131;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.36900725470483;64.98407057820224;65.89992596545056;65.81729723617954
132;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.36929564577002;64.98401844622691;65.90006054601173;65.81726277040033
133;452.78;555.56;0.0;-0.0;0.0;0.0;65.3695724616583;64.98396853565532;65.90018945390133;65.81722968772556
134;452.78;555.56;0.0;0.0;-0.0;0.0;65.369838155571;64.98392074839991;65.90031292823215;65.81719793265188
135;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.37009316368005;64.98387499092762;65.90043119803754;65.81716745190325
136;452.78;555.56;0.0;0.0;-0.0;-0.0;65.3703379057218;64.98383117403438;65.90054448269628;65.81713819434152
137;452.78;555.56;0.0;-0.0;-0.0;-0.0;65.37057278557339;64.98378921263159;65.90065299233963;65.81711011088072
138;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.37079819181173;64.98374902554397;65.90075692824117;65.8170831544046
139;452.78;555.56;0.0;-0.0;0.0;-0.0;65.37101449825545;64.98371053531798;65.90085648319017;65.81705727968769
140;452.78;555.56;-0.0;0.0;0.0;0.0;65.37122206449014;64.98367366804042;65.90095184184932;65.81703244331936
141;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.37142123637727;64.98363835316647;65.90104318109728;65.81700860363102
142;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.37161234654711;64.9836045233567;65.90113067035678;65.81698572062623
143;452.78;555.56;0.0;-0.0;0.0;-0.0;65.3717957148759;64.98357211432257;65.90121447190899;65.81696375591358
144;452.78;555.56;-0.0;0.0;-0.0;0.0;65.3719716489478;64.98354106467988;65.90129474119455;65.81694267264224
145;452.78;555.56;-0.0;0.0;0.0;0.0;65.37214044450188;64.9835113158098;65.90137162710191;65.81692243544023
146;452.78;555.56;-0.0;0.0;0.0;0.0;65.37230238586444;64.98348281172703;65.90144527224358;65.81690301035502
147;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.37245774636723;64.98345549895463;65.90151581322064;65.81688436479655
148;452.78;555.56;0.0;0.0;-0.0;-0.0;65.37260678875167;64.98342932640531;65.90158338087618;65.8168664674826
149;452.78;555.56;-0.0;0.0;-0.0;0.0;65.37274976555966;64.98340424526872;65.901648100538;65.81684928838628
150;452.78;555.56;-0.0;0.0;-0.0;0.0;65.37288691951122;64.98338020890431;65.90171009225112;65.81683279868568
151;452.78;555.56;-0.0;-0.0;-0.0;0.0;65.37301848386927;64.98335717273974;65.90176947100048;65.81681697071551
152;452.78;555.56;-0.0;-0.0;-0.0;0.0;65.37314468279207;64.98333509417428;65.9018263469242;65.81680177792063
153;452.78;555.56;0.0;0.0;-0.0;0.0;65.37326573167351;64.983313932487;65.9018808255179;65.81678719481158
154;452.78;555.56;0.0;0.0;-0.0;-0.0;65.37338183747163;64.9832936487496;65.90193300783045;65.81677319692177
155;452.78;555.56;0.0;0.0;0.0;0.0;65.3734931990258;64.98327420574353;65.90198299065133;65.81675976076646
156;452.78;555.56;-0.0;0.0;0.0;-0.0;65.37360000736281;64.98325556788114;65.90203086669025;65.81674686380333
157;452.78;555.56;0.0;0.0;-0.0;0.0;65.37370244599214;64.98323770113079;65.90207672474907;65.81673448439469
158;452.78;555.56;-0.0;0.0;-0.0;0.0;65.37380069119091;64.98322057294548;65.90212064988653;65.81672260177113
159;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.3738949122787;64.98320415219514;65.90216272357608;65.81671119599675
160;452.78;555.56;0.0;0.0;-0.0;-0.0;65.37398527188257;64.98318840910204;65.90220302385698;65.81670024793564
161;452.78;555.56;0.0;0.0;0.0;0.0;65.37407192619258;64.98317331517943;65.90224162547905;65.81668973921983
162;452.78;555.56;0.0;0.0;0.0;-0.0;65.37415502520815;64.98315884317309;65.90227860004131;65.81667965221844
163;452.78;555.56;0.0;-0.0;0.0;-0.0;65.37423471297554;64.98314496700566;65.90231401612486;65.81666997000812
164;452.78;555.56;0.0;0.0;0.0;0.0;65.37431112781668;64.98313166172372;65.90234793942003;65.81666067634464
165;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.37438440254974;64.98311890344728;65.90238043284822;65.81665175563566
166;452.78;555.56;-0.0;0.0;0.0;-0.0;65.37445466470153;64.98310666932176;65.90241155667869;65.81664319291454
167;452.78;555.56;0.0;-0.0;0.0;0.0;65.37452203671226;64.98309493747216;65.90244136864028;65.81663497381527
168;452.78;555.56;-0.0;0.0;0.0;-0.0;65.37458663613268;64.98308368695947;65.90246992402854;65.81662708454832
169;452.78;555.56;-0.0;0.0;-0.0;0.0;65.37464857581388;64.98307289773909;65.90249727580826;65.81661951187755
170;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.37470796409022;64.98306255062116;65.90252347471173;65.81661224309796
171;452.78;555.56;0.0;0.0;0.0;-0.0;65.37476490495531;64.9830526272328;65.90254856933286;65.81660526601445
172;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.37481949823156;64.98304310998208;65.90257260621732;65.81659856892125
173;452.78;555.56;-0.0;-0.0;-0.0;0.0;65.37487183973322;64.98303398202368;65.9025956299488;65.81659214058237
174;452.78;555.56;-0.0;-0.0;-0.0;0.0;65.3749220214235;64.9830252272261;65.90261768323182;65.81658597021271
175;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.37497013156563;64.98301683014037;65.90263880697086;65.81658004746
176;452.78;555.56;0.0;-0.0;-0.0;0.0;65.3750162548683;64.9830087759703;65.90265904034625;65.81657436238734
177;452.78;555.56;-0.0;-0.0;0.0;-0.0;65.37506047262558;64.98300105054398;65.90267842088689;65.81656890545668
178;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.37510286285149;64.98299364028657;65.90269698453977;65.81656366751267
179;452.78;555.56;0.0;0.0;-0.0;0.0;65.37514350040958;64.98298653219445;65.90271476573677;65.81655863976738
180;452.78;555.56;-0.0;0.0;-0.0;-0.0;65.37518245713738;64.98297971381044;65.90273179745842;65.81655381378556
181;452.78;555.56;0.0;-0.0;0.0;0.0;65.37521980196631;64.98297317320018;65.90274811129508;65.81654918147044
182;452.78;555.56;-0.0;-0.0;-0.0;0.0;65.37525560103681;64.98296689892955;65.90276373750564;65.81654473505016
183;452.78;555.56;0.0;0.0;0.0;-0.0;65.37528991780918;64.98296088004312;65.9027787050735;65.81654046706478
184;452.78;555.56;-0.0;-0.0;0.0;0.0;65.37532281317011;64.98295510604359;65.90279304176046;65.81653637035373
185;452.78;555.56;-0.0;-0.0;-0.0;0.0;65.37535434553507;64.9829495668721;65.90280677415812;65.81653243804375
186;452.78;555.56;0.0;0.0;-0.0;-0.0;65.37538457094684;64.98294425288945;65.90281992773724;65.81652866353743
187;452.78;555.56;-0.0;0.0;0.0;0.0;65.37541354317011;64.98293915485822;65.90283252689501;65.81652504050211
188;452.78;555.56;0.0;0.0;-0.0;-0.0;65.37544131378253;64.98293426392549;65.90284459500025;65.81652156285928
189;452.78;555.56;0.0;-0.0;0.0;-0.0;65.37546793226213;64.98292957160656;65.90285615443678;65.81651822477431
190;452.78;555.56;0.0;-0.0;-0.0;0.0;65.37549344607135;64.98292506976922;65.90286722664494;65.81651502064676
191;452.78;555.56;0.0;0.0;0.0;-0.0;65.37551790073786;64.98292075061882;65.9028778321614;65.81651194510093
192;452.78;555.56;-0.0;-0.0;-0.0;-0.0;65.3755413399322;64.98291660668389;65.90288799065715;65.81650899297681
193;452.78;555.56;-0.0;-0.0;-0.0;0.0;65.37556380554226;64.98291263080252;65.90289772097407;65.8165061593215
194;452.78;555.56;0.0;0.0;0.0;-0.0;65.37558533774506;64.9829088161092;65.90290704115986;65.81650343938085
195;452.78;555.56;0.0;0.0;-0.0;-0.0;65.37560597507553;64.98290515602235;65.9029159685015;65.81650082859149
196;452.78;555.56;0.0;-0.0;0.0;-0.0;65.37562575449267;64.98290164423236;65.90292451955733;65.81649832257317
197;452.78;555.56;-0.0;-0.0;0.0;0.0;65.37564471144309;64.98289827469003;65.90293271018776;65.81649591712143
198;452.78;555.56;-0.0;0.0;0.0;-0.0;65.37566287992202;64.98289504159575;65.90294055558465;65.81649360820055
199;452.78;555.56;-0.0;-0.0;-0.0;0.0;65.37568029253198;64.98289193938894;65.90294807029957;65.81649139193672
200;397.58;376.58;0.0;0.0;-0.0;0.0;65.37569698053902;64.98288896273802;65.90295526827072;65.81648926461162
201;397.58;376.58;-0.0;0.0;0.0;-0.0;65.09971297392684;63.78968610653086;64.1131621628488;65.17248722265614
202;397.58;376.58;0.0;0.0;-0.0;-0.0;64.76429271684529;62.653459279095095;62.399327755072115;64.55439253239275
203;397.58;376.58;0.0;0.0;0.0;-0.0;64.37526518020672;61.571895963690224;60.7592285887318;63.96128363281606
204;397.58;376.58;0.0;0.0;-0.0;0.0;63.93813068886285;60.542735310285536;59.19064661014798;63.39226321246303
205;397.58;376.58;-0.0;0.0;-0.0;-0.0;63.4580784877951;59.563770684535676;57.69137202922661;62.84645814298595
206;397.58;376.58;-0.0;-0.0;-0.0;-0.0;62.94000228497287;58.63285189922053;56.25920621327473;62.323019372429926
207;397.58;376.58;-0.0;0.0;-0.0;-0.0;62.388514093415566;57.747887126333744;54.89196459628528;61.82112178016697
208;397.58;376.58;-0.0;0.0;0.0;0.0;61.80795664706611;56.90684449138986;53.587479585628984;61.33996399553546
209;397.58;376.58;0.0;0.0;-0.0;-0.0;61.20241462552746;56.10775335469892;52.34360344755007;60.87876818230938
210;397.58;376.58;0.0;-0.0;-0.0;-0.0;60.57572488969381;55.34870528728059;51.15821115257667;60.43677979117899
211;397.58;376.58;-0.0;-0.0;-0.0;0.0;59.93148590241377;54.6278547517199;50.02920316194157;60.01326728246316
212;397.58;376.58;-0.0;0.0;0.0;0.0;59.27306648446628;53.94341950057441;48.95450813637324;59.60752182129423
213;397.58;376.58;-0.0;-0.0;-0.0;0.0;58.60361403547321;53.29368070690958;47.93208554916354;59.21885694752109
214;397.58;376.58;-0.0;0.0;0.0;-0.0;57.92606233126821;52.67698284315758;46.959928186241406;58.84660822256499
215;397.58;376.58;0.0;-0.0;-0.0;-0.0;57.243138993193796;52.09173332576306;46.03606451706925;58.4901328554377
216;397.58;376.58;-0.0;-0.0;-0.0;-0.0;56.55737271043015;51.53640194400832;45.15856092150964;58.148809310093995
217;397.58;376.58;0.0;0.0;0.0;0.0;55.87110028348599;51.009520092012686;44.32552375935926;57.82203689624108
218;397.58;376.58;0.0;0.0;0.0;0.0;55.186473545193536;50.50967982319965;43.53510127098136;57.509235345668486
219;397.58;376.58;0.0;-0.0;-0.0;0.0;54.505466204795695;50.03553274654505;42.785485299351535;57.20984437609382
220;397.58;376.58;-0.0;-0.0;-0.0;0.0;53.829880650886686;49.58578878368939;42.074912825823496;56.923323244444404
221;397.58;376.58;-0.0;0.0;-0.0;0.0;53.161354739997364;49.15921480554806;41.40166731398003;56.64915029141323
222;397.58;376.58;-0.0;0.0;0.0;0.0;52.50136858945701;48.75463316641688;40.76407985801683;56.38682247904102
223;397.58;376.58;-0.0;0.0;-0.0;-0.0;51.851251385788295;48.37092015277835;40.16053013417132;56.135854922986056
224;397.58;376.58;-0.0;-0.0;-0.0;-0.0;51.21218821328563;48.007004363097906;39.58944715571563;55.89578042105004
225;397.58;376.58;0.0;0.0;0.0;0.0;50.58522690158164;47.66186503388826;39.04930983394627;55.66614897943385
226;397.58;376.58;-0.0;-0.0;-0.0;0.0;49.97128488591597;47.33453032624153;38.538647349390736;55.44652733810098
227;397.58;376.58;0.0;-0.0;0.0;0.0;49.3711560694783;47.02407558590793;38.056039339086524;55.23649849653124
228;397.58;376.58;0.0;0.0;0.0;0.0;48.785517673593006;46.729621588859295;37.60011590724927;55.03566124105199
229;397.58;376.58;-0.0;0.0;0.0;-0.0;48.214937058629936;46.45033278313447;37.16955746791868;54.84362967484099
