;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
56;452.78;555.56;-0.257;-0.2289;-0.1959;0.0099;64.98850243;64.82338395;66.9738641;65.26545135
57;452.78;555.56;-0.1969;-0.1145;0.2488;0.1358;64.79966535;64.58335681;66.7330143;65.29750896
58;452.78;555.56;0.0681;-0.1374;-0.1005;0.2677;64.672184;64.47565332;66.94694385;65.45417483
59;452.78;555.56;-0.2675;0.0656;0.0016;-0.1509;64.8263178;64.35883101;66.80261973;65.73643254
60;452.78;555.56;0.2138;-0.0314;-0.2013;0.2666;64.62955041;64.46446758;66.76643449;65.58874416
61;452.78;555.56;-0.0519;0.0939;-0.1632;0.0544;64.92439416;64.45983417;66.52886435;65.86448945
62;452.78;555.56;0.1498;0.0792;-0.1599;0.123;64.92586628;64.59189565;66.33935164;65.91696151
63;452.78;555.56;0.1088;-0.0402;-0.0447;-0.0833;65.12099413;64.70219829;66.16109487;66.03592906
64;452.78;555.56;-0.1393;0.1616;-0.0956;-0.3559;65.25592717;64.69022291;66.10553186;65.94382822
65;452.78;555.56;-0.102;-0.2057;0.1096;-0.0665;65.1323412;64.87718623;66.00140674;65.58281853
66;452.78;555.56;-0.1669;-0.0575;-0.119;-0.0399;65.04907261;64.66940936;66.10686548;65.52570204
67;452.78;555.56;0.0019;0.0954;-0.0521;0.2047;64.91033469;64.62192528;65.97928423;65.49748221
68;452.78;555.56;-0.0789;-0.0777;-0.222;-0.0308;64.94334731;64.72949784;65.92397481;65.71499748
69;452.78;555.56;-0.1019;-0.1716;0.0853;0.0744;64.8912484;64.66525777;65.7010958;65.68826988
70;452.78;555.56;0.219;0.0284;0.0485;-0.1079;64.80987544;64.51049571;65.79491756;65.7678158
71;452.78;555.56;0.205;0.1478;-0.1533;-0.1452;65.05824782;64.5696613;65.84798009;65.66186738
72;452.78;555.56;0.2562;-0.0247;0.0814;-0.0121;65.27995402;64.73986701;65.69700466;65.52287397
73;452.78;555.56;0.0359;-0.2118;0.1703;-0.1496;65.53321037;64.72018711;65.78709913;65.52256789
74;452.78;555.56;-0.069;0.1109;0.2657;-0.0206;65.55482661;64.51475826;65.96229148;65.38477412
75;452.78;555.56;0.1737;-0.0199;0.1418;-0.029;65.47763768;64.64072844;66.22549793;65.38152532
76;452.78;555.56;0.0381;0.0179;-0.1702;0.0555;65.65883809;64.62703062;66.35372631;65.37000733
77;452.78;555.56;0.0306;0.1338;0.1384;-0.0392;65.69900689;64.65161869;66.16456567;65.44345311
78;452.78;555.56;0.266;0.0234;-0.1374;-0.0282;65.72132736;64.79335876;66.29195666;65.41924229
79;452.78;555.56;0.1483;-0.0053;0.1754;-0.0666;65.98307268;64.81390443;66.13819135;65.40700591
80;452.78;555.56;-0.1217;-0.1684;-0.3011;0.1923;66.10505538;64.80383499;66.30369192;65.35686209
81;452.78;555.56;-0.2285;-0.064;-0.1371;0.2416;65.95673906;64.62934376;65.98573344;65.56763721
82;452.78;555.56;-0.0451;0.0511;0.004;-0.0952;65.69707118;64.57982338;65.84515235;65.81923107
83;452.78;555.56;-0.0586;-0.1926;0.1706;0.0914;65.6303543;64.6589429;65.85159616;65.723919
84;452.78;555.56;0.0702;-0.2571;0.2138;0.0181;65.55439033;64.48505035;66.02436825;65.81903311
85;452.78;555.56;0.227;0.2178;0.2187;-0.1111;65.61904219;64.26253761;66.23305997;65.83702899
86;452.78;555.56;0.0637;0.17;-0.0526;0.1997;65.84541511;64.53110472;66.4378704;65.72510275
87;452.78;555.56;0.0184;0.0058;-0.0521;0.1132;65.90359129;64.72872526;66.36277629;65.92846933
88;452.78;555.56;-0.2081;-0.2484;0.1258;0.0284;65.90984816;64.75660502;66.29133551;66.03717543
89;452.78;555.56;-0.0701;0.0747;0.2149;0.0828;65.68623078;64.5327104;66.4007963;66.05672466
90;452.78;555.56;0.191;0.2997;0.0324;-0.0381;65.61854198;64.64822002;66.59475877;66.12989074
91;452.78;555.56;0.0183;-0.08;-0.0054;-0.089;65.82413155;64.98364879;66.59808241;66.07922683
92;452.78;555.56;-0.1826;-0.1651;-0.2083;0.1741;65.84489774;64.91412656;66.56346669;65.97969162
93;452.78;555.56;0.0605;0.2405;-0.2575;-0.019;65.66207476;64.76032464;66.32740257;66.14724432
94;452.78;555.56;-0.221;0.0401;-0.0071;0.211;65.72334454;65.02948023;66.05204781;66.1149857
95;452.78;555.56;-0.1211;0.191;-0.3057;0.4343;65.487878;65.07832163;66.03867403;66.31401854
96;452.78;555.56;-0.1549;-0.1001;-0.0245;0.0153;65.36580556;65.28265101;65.72726335;66.72838822
97;452.78;555.56;0.1279;-0.0248;-0.204;-0.1126;65.2041028;65.19831432;65.71018056;66.70721753
98;452.78;555.56;-0.1193;0.177;-0.1118;0.2086;65.33415621;65.19425354;65.51431883;66.55899067
99;452.78;555.56;0.1398;0.0479;-0.0418;-0.0134;65.20095174;65.38636129;65.41893089;66.73787559
100;452.78;555.56;0.2552;-0.1173;-0.0107;0.0248;65.33078609;65.44325123;65.39757692;66.68762679
101;452.78;555.56;0.0172;-0.0866;0.0745;-0.1545;65.56734581;65.32901777;65.4082264;66.67758089
102;452.78;555.56;-0.0421;-0.0687;-0.173;0.0778;65.55221679;65.25295779;65.5036253;66.48863551
103;452.78;555.56;-0.174;0.09;0.044;0.1991;65.48272602;65.19250577;65.34748945;66.53952874
104;452.78;555.56;0.3012;0.3737;0.2459;-0.0799;65.27888154;65.29695747;65.41495866;66.70969035
105;452.78;555.56;-0.0011;-0.0458;0.3178;-0.0452;65.56528246;65.68468867;65.68147274;66.59406492
106;452.78;555.56;0.0892;-0.1174;0.0749;-0.02;65.54352536;65.62160438;66.00862293;66.51775036
107;452.78;555.56;0.013;-0.0815;0.1449;0.1493;65.62716304;65.48821413;66.07907774;66.46968126
108;452.78;555.56;-0.0465;0.0697;-0.0771;-0.1303;65.63257333;65.39798734;66.21656606;66.59283132
109;452.78;555.56;0.0581;-0.1748;0.21;0.0064;65.58394505;65.47009249;66.12627001;66.43146598
110;452.78;555.56;-0.1968;-0.2363;0.2249;-0.2231;65.63902156;65.28628767;66.32687219;66.41324228
111;452.78;555.56;0.2802;-0.0322;0.1935;-0.0419;65.44434485;65.05292515;66.53393972;66.16624656
112;452.78;555.56;-0.0876;0.04;0.1084;0.2832;65.746989;65.02989829;66.7009141;66.11032735
113;452.78;555.56;-0.0095;0.1616;0.2867;0.1188;65.67076423;65.07842427;66.77578838;66.38174671
114;452.78;555.56;0.0006;0.0502;0.1331;0.1257;65.68032258;65.25605358;67.02582655;66.47790936
115;452.78;555.56;-0.035;0.1889;-0.0543;-0.1386;65.70987077;65.31385968;67.11180454;66.57713087
