;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
153;452.78;555.56;-0.3478;-0.1097;-0.2223;0.182;66.92698462942275;64.77771942637848;67.59807653396595;67.05335674528017
154;452.78;555.56;-0.0904;0.3216;-0.0818;-0.113;66.55796648526797;64.73161823883571;67.304788030008;67.18595020446782
155;452.78;555.56;-0.0988;-0.2838;0.2392;0.1721;66.45597070722374;65.12527929147544;67.16421886462476;67.01827459155142
156;452.78;555.56;0.5472;0.0104;0.2451;0.0593;66.34575660140075;64.8796460988124;67.3505156986426;67.14236303607574
157;452.78;555.56;-0.0389;-0.1852;0.2494;0.0223;66.89585558861384;64.95012661418991;67.534939622708;67.14871893999984
158;452.78;555.56;0.1217;0.4351;-0.3911;0.1443;66.83494935921111;64.82038389729304;67.71597936223158;67.11782231822845
159;452.78;555.56;0.2984;-0.2456;0.0063;0.3417;66.94577775311544;65.31869101437944;67.24898612047011;67.21015335880661
160;452.78;555.56;0.0189;-0.0154;0.1291;0.1496;67.20730164427701;65.10553465783948;67.19884485398916;67.49621650890748
161;452.78;555.56;0.0183;-0.2228;0.1561;0.1225;67.1717923007711;65.14863858084307;67.27359616425092;67.57883164316027
162;452.78;555.56;0.0437;0.3629;0.1217;-0.1078;67.14089706076388;64.98463832121666;67.37222811687833;67.63107394395588
163;452.78;555.56;0.1679;-0.107;0.2804;0.0383;67.14133806612004;65.41973873628756;67.43234682806276;67.45094767634596
164;452.78;555.56;0.0783;-0.0316;0.1165;-0.148;67.2684586962117;65.34777017559585;67.64865988960794;67.42405700401147
165;452.78;555.56;-0.0778;0.2371;0.1933;-0.3733;67.30748750626341;65.35509635577453;67.69206660309987;67.21193240669169
166;452.78;555.56;-0.1792;0.1153;0.1451;-0.052;67.18992117060539;65.6222003164448;67.81046778269537;66.78292490809477
167;452.78;555.56;-0.2144;0.0772;0.2151;0.231;66.98280922945132;65.7320437575702;67.8757469199085;66.6922811097252
168;452.78;555.56;-0.0692;-0.1084;0.0482;0.1945;66.755436381451;65.79262023544928;68.00831418290316;66.88824966000158
169;452.78;555.56;-0.1017;0.0218;-0.1789;-0.1123;66.69221187577875;65.67123988031;67.96847824876711;67.03991152353768
170;452.78;555.56;-0.3099;-0.187;-0.1262;-0.0663;66.59857694135592;65.69443794386311;67.70319543928036;66.8787395671732
171;452.78;555.56;0.1116;-0.0291;0.0156;-0.0558;66.29126699695793;65.50082819851788;67.50163380006326;66.76998001459002
172;452.78;555.56;0.0357;0.0701;-0.361;-0.0471;66.41529868789203;65.47411077805533;67.45026047887686;66.67605194771245
173;452.78;555.56;-0.0265;-0.1374;-0.194;0.2232;66.45392762479644;65.54468989602928;67.02442714474293;66.59456752375168
174;452.78;555.56;0.2178;-0.1716;0.0998;0.4399;66.41029506038974;65.39965882105271;66.78336362594615;66.78663291936566
175;452.78;555.56;0.1956;-0.0118;-0.1506;0.0009;66.60346658369465;65.23807494673984;66.84618459750857;67.1877414010502
176;452.78;555.56;0.1261;0.3782;-0.0631;-0.0068;66.76561407174975;65.26338987164317;66.6559758073582;67.13389464418512
177;452.78;555.56;0.0183;-0.3324;0.1206;-0.4468;66.84069393049948;65.67481891690234;66.56123318654461;67.0744870233959
178;452.78;555.56;0.0176;-0.0264;0.0855;0.2433;66.79955975886115;65.34494544010185;66.65416273954284;66.57744044719617
179;452.78;555.56;0.0603;0.1653;0.4985;0.3577;66.76405503378503;65.32399306592994;66.70809610680486;66.79028916984649
180;452.78;555.56;0.5146;-0.3153;0.255;0.24;66.77561114356584;65.50467138503747;67.17276949685159;67.10905199764939
181;452.78;555.56;-0.0775;-0.3769;0.0688;0.0991;67.26021695508891;65.2049816498491;67.37450933481927;67.29743157416797
182;452.78;555.56;0.0663;0.0044;-0.069;0.2514;67.1325147867505;64.87183548357422;67.38163294816722;67.3374298751209
183;452.78;555.56;-0.0006;-0.1025;-0.0988;-0.0584;67.15644252047562;64.94460123169418;67.25065960760949;67.5281410383177
184;452.78;555.56;0.0493;0.148;-0.1203;0.0018;67.10659600322137;64.91299384359309;67.0953485139014;67.40149123152254
185;452.78;555.56;0.231;-0.0799;-0.1814;0.2769;67.10310712087895;65.12905279376248;66.92502157171279;67.34006141354237
186;452.78;555.56;0.0633;0.3944;-0.1782;0.058;67.27440449350775;65.0998406650895;66.70071431844445;67.55616817348277
